"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 02 11:20:13 GMT 2024","Mon Sep 02 11:20:13 GMT 2024","20","","test_example","TestApi","","","test_posts_all",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","120","","test_example","TestApi","","","test_get_albums_photo",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","150","","test_example","TestApi","","","test_get_users_albums",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","128","","test_example","TestApi","","","test_get_users_posts",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","127","","test_example","TestApi","","","test_delete_resource",""
"passed","Mon Sep 02 11:20:13 GMT 2024","Mon Sep 02 11:20:13 GMT 2024","54","","test_example","TestApi","","","test_posts_1",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","22","","test_example","TestApi","","","test_get_comments",""
"passed","Mon Sep 02 11:20:13 GMT 2024","Mon Sep 02 11:20:13 GMT 2024","108","","test_example","TestApi","","","test_updating_resource",""
"failed","Mon Sep 02 11:20:13 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","109","","test_example","TestApi","","","test_patch_updating_resource",""
"passed","Mon Sep 02 11:20:14 GMT 2024","Mon Sep 02 11:20:14 GMT 2024","122","","test_example","TestApi","","","test_get_users_todos",""
"passed","Mon Sep 02 11:20:13 GMT 2024","Mon Sep 02 11:20:13 GMT 2024","111","","test_example","TestApi","","","test_post_creating_resource",""
